cardname,cardq,cardrarity,cardcondition,card_edition,cardset,cardcode,cardid 
"Chain Detonation",8,"Common",M,Unlimited,"Cyberdark Impact",CDIP-EN054,51449743 
"Chain Disappearance",2,"Rare",M,Unlimited,"Invasion of Chaos",IOC-052,57139487 
"Chain Energy",5,"Common",M,1st Edition,"Magic Ruler",MRL-046,79323590 
"Chain Healing",4,"Common",M,1st Edition,"Cyberdark Impact",CDIP-EN053,25050038 
"Chain Material",3,"Common",M,Unlimited,"Phantom Darkness",PTDN-EN067,39980304 
"Chain Strike",7,"Common",M,1st Edition,"Cyberdark Impact",CDIP-EN043,91623717 
"Chain Summoning",6,"Common",M,Unlimited,"Phantom Darkness",PTDN-EN057,9952083 
"Chain Thrasher",8,"Common",M,Unlimited,"Shadow of Infinity",SOI-EN015,88190453 
"Chainsaw Insect",4,"Rare",M,Unlimited,"Shadow of Infinity",SOI-EN021,77252217 
"Chamberlain of the Six Samurai",3,"Common",M,Unlimited,"Gladiator's Assault",GLAS-EN001,44430454 
"Change of Hero - Reflector Ray",7,"Common",M,Unlimited,"Strike of Neos",STON-EN049,74095602 
"Chaos End",2,"Common",M,Unlimited,"Invasion of Chaos",IOC-036,61044390 
"Chaos Greed",6,"Common",M,Unlimited,"Invasion of Chaos",IOC-038,97439308 
"Chaos Necromancer",5,"Common",M,Unlimited,"Invasion of Chaos",IOC-017,1434352 
"Chaos Sorcerer",9,"Common",M,Unlimited,"Invasion of Chaos",IOC-023,9596126 
"Charcoal Inpachi",5,"Rare",M,Unlimited,"Soul of the Duelist",SOD-EN001,13179332 
"Charm of Shabti",5,"Common",M,Unlimited,"Pharaonic Guardian",PGD-074,50412166 
"Charubin the Fire Knight",1,"Rare",M,Unlimited,"The Legend of Blue Eyes White Dragon",LOB-015,37421579 
"Checkmate",4,"Common",M,Unlimited,"Dark Crisis",DCR-089,69313735 
"Chimeratech Overdragon",4,"Rare",M,Unlimited,"Duelist Pack 4: Zane Truesdale",DP04-EN013,64599569 
"Chiron the Mage",3,"Rare",M,Unlimited,"Flaming Eternity",FET-EN021,16956455 
"Chopman the Desperate Outlaw",3,"Common",M,Unlimited,"Invasion of Chaos",IOC-010,40884383 
"Chorus of Sanctuary",2,"Common",M,Unlimited,"Dark Beginning 1",DB1-EN022,81380218 
"Chosen One",3,"Common",M,Unlimited,"Labyrinth of Nightmare",LON-014,21888494 
"Chrysalis Chicky",6,"Common",M,Unlimited,"Tactical Evolution",TAEV-EN008,17363041 
"Chrysalis Dolphin",4,"Common",M,Unlimited,"Power of the Duelist",POTD-EN006,42682609 
"Chrysalis Larva",8,"Common",M,Unlimited,"Tactical Evolution",TAEV-EN010,16241441 
"Chrysalis Mole",5,"Common",M,Unlimited,"Tactical Evolution",TAEV-EN011,42239546 
"Chrysalis Pantail",4,"Common",M,Unlimited,"Tactical Evolution",TAEV-EN007,43751755 
"Chrysalis Pinny",9,"Common",M,Unlimited,"Tactical Evolution",TAEV-EN009,29246354 
"Chthonian Alliance",9,"Rare",M,1st Edition,"Elemental Energy",EEN-EN044,46910446 
"Chthonian Blast",7,"Rare",M,Unlimited,"Elemental Energy",EEN-EN050,18271561 
"Chthonian Emperor Dragon",1,"Ultra Rare",M,Unlimited,"Tactical Evolution",TAEV-EN019,95888876 
"Chthonian Polymer",12,"Common",M,1st Edition,"Elemental Energy",EEN-EN057,72287557 
"Chthonian Soldier",5,"Rare",M,Unlimited,"Elemental Energy",EEN-EN010,50916353 
"Chu-Ske the Mouse Fighter",9,"Common",M,Unlimited,"Flaming Eternity",FET-EN003,8508055 
"Cloak and Dagger",1,"Rare",M,Unlimited,"Strike of Neos",STON-EN059,8323633 
"Clock Tower Prison",1,"Rare",M,Unlimited,"Dark Revelation Volume 4",DR04-EN228,75041269 
"Cloning",1,"Secret Rare",M,Unlimited,"Retro Pack 1",RP01-EN094,86871614 
"Cloudian - Altus",1,"Rare",M,Unlimited,"Gladiator's Assault",GLAS-EN012,79703905 
"Cloudian - Cirrostratus",2,"Rare",M,Unlimited,"Gladiator's Assault",GLAS-EN011,43318266 
"Cloudian - Eye of the Typhoon",2,"Super Rare",M,Unlimited,"Gladiator's Assault",GLAS-EN005,57610714 
"Cloudian - Ghost Fog",5,"Common",M,1st Edition,"Gladiator's Assault",GLAS-EN006,83604828 
"Cloudian - Nimbusman",5,"Common",M,1st Edition,"Gladiator's Assault",GLAS-EN007,20003527 
"Cloudian - Poison Cloud",4,"Common",M,1st Edition,"Gladiator's Assault",GLAS-EN009,83982270 
"Cloudian - Smoke Ball",5,"Common",M,Unlimited,"Gladiator's Assault",GLAS-EN002,80825553 
"Cloudian - Storm Dragon",4,"Common",M,Unlimited,"Light of Destruction",LODT-EN040,13474291 
"Cloudian - Turbulence",7,"Common",M,Unlimited,"Gladiator's Assault",GLAS-EN013,16197610 
"Cloudian Squall",8,"Common",M,1st Edition,"Gladiator's Assault",GLAS-EN052,90135989 
"Coach Goblin",5,"Common",M,Unlimited,"Invasion of Chaos",IOC-015,42541548 
"Cobra Jar",5,"Common",M,1st Edition,"Pharaonic Guardian",PGD-075,86801871 
"Cocoon of Evolution",3,"Common",M,Unlimited,"Metal Raiders",MRD-011,40240595 
"Cocoon Party",5,"Common",M,Unlimited,"Tactical Evolution",TAEV-EN048,80368942 
"Cocoon Rebirth",3,"Common",M,Unlimited,"Tactical Evolution",TAEV-EN050,43644025 
"Cocoon Veil",1,"Common",M,1st Edition,"Tactical Evolution",TAEV-EN065,56641453 
"Coffin Seller",2,"Rare",M,1st Edition,"Pharaonic Guardian",PGD-093,65830223 
"Cold Enchanter",3,"Rare",M,Unlimited,"The Duelist Genesis",TDGS-EN096,24661486 
"Cold Wave",10,"Common",M,Unlimited,"Pharaoh's Servant",PSV-062,60682203 
"Collected Power",4,"Common",M,Unlimited,"Labyrinth of Nightmare",LON-078,7565547 
"Combination Attack",7,"Rare",M,Unlimited,"Magician's Force",MFC-030,8964854 
"Combo Fighter",1,"Common",M,Unlimited,"Cyberdark Impact",CDIP-EN028,8806072 
"Commencement Dance",2,"Common",M,Unlimited,"Magic Ruler",MRL-062,43417563 
"Common Soul",8,"Common",M,Unlimited,"Power of the Duelist",POTD-EN045,14772491 
"Comrade Swordsman of Landstar",3,"Common",M,1st Edition,"Crossroads of Chaos",CSOC-EN033,83602069 
"Confiscation",3,"Common",M,Unlimited,"Dark Beginning 1",DB1-EN023,17375316 
"Confusion Chaff",1,"Common",M,1st Edition,"Crossroads of Chaos",CSOC-EN064,67630339 
"Conscription",11,"Common",M,Unlimited,"Cybernetic Revolution",CRV-EN058,31000575 
"Contact",7,"Common",M,Unlimited,"Power of the Duelist",POTD-EN037,16616620 
"Contact Out",4,"Common",M,Unlimited,"Gladiator's Assault",GLAS-EN045,69270537 
"Continuous Destruction Punch",4,"Rare",M,Unlimited,"Magician's Force",MFC-085,68057622 
"Contract with Exodia",4,"Common",M,Unlimited,"Dark Crisis",DCR-031,33244944 
"Contract with the Abyss",2,"Rare",M,1st Edition,"Dark Crisis",DCR-086,69035382 
"Contract with the Dark Master",1,"Common",M,Unlimited,"Dark Revelation Volume 1",DR1-EN249,96420087 
"Convert Contact",4,"Common",M,Unlimited,"Tactical Evolution",TAEV-EN047,82639107 
"Convulsion of Nature",5,"Common",M,Unlimited,"Legacy of Darkness",LOD-084,62966332 
"Copy Plant",9,"Common",M,Unlimited,"Crossroads of Chaos",CSOC-EN005,66457407 
"Copycat",4,"Rare",M,Unlimited,"Dark Legends",DLG1-EN093,26376390 
"Corruption Cell "A"",4,"Common",M,Unlimited,"Cyberdark Impact",CDIP-EN037,2561846 
"Counter Cleaner",5,"Common",M,Unlimited,"Cyberdark Impact",CDIP-EN041,38834303 
"Counter Counter",6,"Common",M,Unlimited,"Tactical Evolution",TAEV-EN080,42309337 
"Covering Fire",4,"Rare",M,Unlimited,"Rise of Destiny",RDS-EN060,74458486 
"Crab Turtle",2,"Common",M,Unlimited,"Magic Ruler",MRL-069,91782219 
"Crass Clown",5,"Common",M,1st Edition,"Metal Raiders",MRD-078,93889755 
"Crawling Dragon",2,"Common",M,1st Edition,"Metal Raiders",MRD-012,67494157 
"Creature Seizure",4,"Common",M,Unlimited,"Tactical Evolution",TAEV-EN058,15305240 
"Creature Swap",6,"Super Rare",M,Unlimited,"Dark Beginning 2",DB2-EN190,31036355 
"Creeping Doom Manta",7,"Common",M,1st Edition,"Rise of Destiny",RDS-EN025,52571838 
"Crimson Ninja",5,"Common",M,Unlimited,"Invasion of Chaos",IOC-006,14618326 
"Crimson Sentry",2,"Common",M,Unlimited,"Labyrinth of Nightmare",LON-033,28358902 
"Criosphinx",2,"Rare",M,Unlimited,"The Lost Millennium",TLM-EN013,18654201 
"Crop Circles",8,"Common",M,1st Edition,"Power of the Duelist",POTD-EN051,24082387 
"Cross Porter",7,"Common",M,Unlimited,"Light of Destruction",LODT-EN002,73146473 
"Crush Card Virus",1,"Gold Rare",M,Limited,"Gold Series 2008",GLD1-EN038,57728570 
"Cry Havoc!",5,"Rare",M,Unlimited,"Phantom Darkness",PTDN-EN078,39712330 
"Crystal Abundance",5,"Common",M,Unlimited,"Force of the Breaker",FOTB-EN035,72881007 
"Crystal Beacon",15,"Common",M,Unlimited,"Force of the Breaker",FOTB-EN032,95326659 
"Crystal Beast Amber Mammoth",8,"Common",M,1st Edition,"Force of the Breaker",FOTB-EN005,69937550 
"Crystal Beast Amethyst Cat",3,"Common",M,Unlimited,"Force of the Breaker",FOTB-EN002,32933942 
"Crystal Beast Cobalt Eagle",9,"Common",M,Unlimited,"Force of the Breaker",FOTB-EN006,21698716 
"Crystal Beast Emerald Tortoise",11,"Common",M,Unlimited,"Force of the Breaker",FOTB-EN003,68215963 
"Crystal Beast Ruby Carbuncle",8,"Common",M,Unlimited,"Force of the Breaker",FOTB-EN001,32710364 
"Crystal Beast Topaz Tiger",3,"Rare",M,Unlimited,"Force of the Breaker",FOTB-EN004,95600067 
"Crystal Blessing",7,"Common",M,1st Edition,"Force of the Breaker",FOTB-EN034,35486099 
"Crystal Pair",2,"Rare",M,Unlimited,"Duelist Pack 7: Jesse Anderson",DP07-EN025,47121070 
"Crystal Promise",12,"Common",M,Unlimited,"Force of the Breaker",FOTB-EN036,8275702 
"Crystal Raigeki",8,"Common",M,Unlimited,"Force of the Breaker",FOTB-EN048,96331676 
"Crystal Tree",1,"Super Rare",M,Unlimited,"Duelist Pack 7: Jesse Anderson",DP07-EN020,47408488 
"Cu Chulainn the Awakened",6,"Common",M,1st Edition,"Strike of Neos",STON-EN033,10789972 
"Cup of Ace",4,"Common",M,Unlimited,"Light of Destruction",LODT-EN050,37812118 
"Cure Mermaid",5,"Common",M,Unlimited,"Labyrinth of Nightmare",LON-041,85802526 
"Curse of Aging",5,"Common",M,Unlimited,"Pharaonic Guardian",PGD-094,41398771 
"Curse of Darkness",2,"Rare",M,Unlimited,"Invasion of Chaos",IOC-106,84970821 
"Curse of Dragon",13,"Common",M,Unlimited,"Dark Beginning 1",DB1-EN123,28279543 
"Curse of Fiend",3,"Common",M,Unlimited,"Magic Ruler",MRL-032,12470447 
"Curse of Royal",5,"Rare",M,Unlimited,"Pharaonic Guardian",PGD-044,2926176 
"Curse of the Masked Beast",2,"Common",M,Unlimited,"Labyrinth of Nightmare",LON-016,94377247 
"Cursed Fig",3,"Common",M,Unlimited,"Crossroads of Chaos",CSOC-EN028,18489208 
"Cursed Seal of the Forbidden Spell",3,"Common",M,Unlimited,"Invasion of Chaos",IOC-049,58851034 
"Cyber Archfiend",20,"Common",M,Unlimited,"Cybernetic Revolution",CRV-EN019,59907935 
"Cyber Barrier Dragon",4,"Rare",M,Unlimited,"Duelist Pack 4: Zane Truesdale",DP04-EN002,68774379 
"Cyber Blader",2,"Super Rare",M,Unlimited,"Elemental Energy",EEN-EN032,10248389 
"Cyber Dragon",4,"Super Rare",M,1st Edition,"Cybernetic Revolution",CRV-EN015,70095154 
"Cyber End Dragon",6,"Ultimate Rare",M,Unlimited,"Cybernetic Revolution",CRV-EN036,1546123 
"Cyber Falcon",5,"Common",M,Unlimited,"Pharaoh's Servant",PSV-047,30655537 
"Cyber Gymnast",8,"Common",M,Unlimited,"Enemy of Justice",EOJ-EN006,76763417 
"Cyber Kirin",14,"Common",M,Unlimited,"Enemy of Justice",EOJ-EN008,76986005 
"Cyber Laser Dragon",2,"Rare",M,1st Edition,"Duelist Pack 4: Zane Truesdale",DP04-EN003,4162088 
"Cyber Ogre",8,"Common",M,Unlimited,"Cyberdark Impact",CDIP-EN004,64268668 
"Cyber Ouroboros",5,"Common",M,Unlimited,"Phantom Darkness",PTDN-EN011,30042158 
"Cyber Phoenix",3,"Common",M,Unlimited,"Duelist Pack 4: Zane Truesdale",DP04-EN006,3370104 
"Cyber Raider",3,"Common",M,Unlimited,"Dark Crisis",DCR-011,39978267 
"Cyber Saurus",3,"Common",M,Unlimited,"Metal Raiders",MRD-105,89112729 
"Cyber Shadow Gardna",1,"Super Rare",M,Unlimited,"Cyberdark Impact",CDIP-EN058,90440725 
"Cyber Summon Blaster",3,"Rare",M,Unlimited,"Power of the Duelist",POTD-EN057,63477921 
"Cyber Tutu",9,"Common",M,Unlimited,"Enemy of Justice",EOJ-EN005,49375719 
"Cyber Twin Dragon",1,"Ultra Rare",M,Unlimited,"Dark Revelation Volume 4",DR04-EN035,74157028 
"Cyber Valley",1,"Super Rare",M,Unlimited,"Phantom Darkness",PTDN-EN010,3657444 
"Cyberdark Dragon",2,"Ultra Rare",M,1st Edition,"Cyberdark Impact",CDIP-EN035,40418351 
"Cyberdark Edge",4,"Common",M,Unlimited,"Duelist Pack 4: Zane Truesdale",DP04-EN008,77625948 
"Cyberdark Horn",4,"Common",M,Unlimited,"Duelist Pack 4: Zane Truesdale",DP04-EN007,41230939 
"Cyberdark Keel",3,"Common",M,Unlimited,"Duelist Pack 4: Zane Truesdale",DP04-EN009,3019642 
"Cybernetic Cyclopean",17,"Common",M,Unlimited,"Cybernetic Revolution",CRV-EN017,96428622 
"Cybernetic Hidden Technology",4,"Common",M,Unlimited,"Phantom Darkness",PTDN-EN069,92773018 
"Cybernetic Magician",2,"Super Rare",M,Unlimited,"Cybernetic Revolution",CRV-EN016,59023523 
"Cybernetic Zone",3,"Common",M,Unlimited,"Phantom Darkness",PTDN-EN052,47295267 
"Cyclon Laser",3,"Common",M,Unlimited,"Labyrinth of Nightmare",LON-095,5494820 
"Cyclone Blade",5,"Rare",M,Unlimited,"Power of the Duelist",POTD-EN043,22147147 
"Cyclone Boomerang",9,"Rare",M,Unlimited,"Shadow of Infinity",SOI-EN042,29612557 
"Cycroid",16,"Common",M,Unlimited,"Cybernetic Revolution",CRV-EN001,45945685 
"D - Chain",1,"Rare",M,Unlimited,"Power of the Duelist",POTD-EN050,43405287 
"D - Formation",2,"Common",M,Unlimited,"Light of Destruction",LODT-EN048,74329404 
"D - Fortune",3,"Common",M,Unlimited,"Light of Destruction",LODT-EN066,9201964 
"D - Shield",9,"Common",M,Unlimited,"Enemy of Justice",EOJ-EN054,62868900 
"D - Spirit",10,"Common",M,1st Edition,"Power of the Duelist",POTD-EN041,89899996 
"D - Time",3,"Common",M,Unlimited,"Duelist Pack 5: Aster Phoenix",DP05-EN025,99075257 
"D. Tribe",8,"Common",M,Unlimited,"Pharaonic Guardian",PGD-102,2833249 
"D.3.S. Frog",12,"Common",M,Unlimited,"Shadow of Infinity",SOI-EN036,9910360 
"D.D. Borderline",3,"Common",M,Unlimited,"Invasion of Chaos",IOC-040,60912752 
"D.D. Crow",2,"Rare",M,1st Edition,"Strike of Neos",STON-EN024,24508238 
"D.D. Dynamite",7,"Common",M,Unlimited,"Flaming Eternity",FET-EN057,8628798 
"D.D. Guide",9,"Common",M,Unlimited,"Shadow of Infinity",SOI-EN014,52702748 
"D.D. Scout Plane",2,"Super Rare",M,Unlimited,"Invasion of Chaos",IOC-012,3773196 
"D.D. Trainer",4,"Common",M,Unlimited,"Dark Crisis",DCR-055,86498013 
"D.D. Trap Hole",9,"Rare",M,Unlimited,"Cybernetic Revolution",CRV-EN057,5606466 
"D.D.M. - Different Dimension Master",7,"Ultimate Rare",M,Unlimited,"Cybernetic Revolution",CRV-EN032,82112775 
"Damage = Reptile",1,"Rare",M,Unlimited,"Tactical Evolution",TAEV-EN067,44584775 
"Damage Condenser",1,"Super Rare",M,Unlimited,"Shadow of Infinity",SOI-EN052,28378427 
"Dancing Fairy",5,"Common",M,Unlimited,"Labyrinth of Nightmare",LON-038,90925163 
"Dark Bat",6,"Common",M,Unlimited,"Pharaoh's Servant",PSV-058,67049542 
"Dark Blade",3,"Rare",M,Unlimited,"Magician's Force",MFC-007,11321183 
"Dark Blade the Dragon Knight",2,"Rare",M,Unlimited,"Rise of Destiny",RDS-EN035,86805855 
"Dark Bribe",1,"Ultra Rare",M,Unlimited,"Dark Legends",DLG1-EN106,77538567 
"Dark Calling",2,"Rare",M,Unlimited,"Duelist Pack 6: Jaden Yuki 3",DP06-EN019,12071500 
"Dark Cat with White Tail",3,"Common",M,Unlimited,"Magician's Force",MFC-083,8634636 
"Dark Catapulter",12,"Rare",M,Unlimited,"Cybernetic Revolution",CRV-EN013,33875961 
"Dark City",7,"Rare",M,Unlimited,"Power of the Duelist",POTD-EN048,53527835 
"Dark Coffin",2,"Common",M,Unlimited,"Pharaonic Guardian",PGD-047,1804528 
"Dark Core",1,"Common",M,Unlimited,"Dark Revelation Volume 1",DR1-EN090,70231910 
"Dark Crusader",5,"Common",M,Unlimited,"Phantom Darkness",PTDN-EN020,91596726 
"Dark Deal",9,"Common",M,1st Edition,"Elemental Energy",EEN-EN052,65824822 
"Dark Designator",2,"Rare",M,Unlimited,"Pharaonic Guardian",PGD-079,78053598 
"Dark Driceratops",5,"Rare",M,Unlimited,"Invasion of Chaos",IOC-073,65287621 
"Dark Dust Spirit",1,"Common",M,Unlimited,"Dark Beginning 2",DB2-EN217,89111398 
"Dark Effigy",4,"Common",M,Unlimited,"Tactical Evolution",TAEV-EN038,81755371 
"Dark Elf",1,"Rare",M,Unlimited,"Metal Raiders",MRD-113,21417692 
"Dark Energy",4,"Common",M,Unlimited,"The Legend of Blue Eyes White Dragon",LOB-088,4614116 
"Dark Factory of Mass Production",15,"Common",M,Unlimited,"Soul of the Duelist",SOD-EN037,90928333 
"Dark Fusion",8,"Rare",M,Unlimited,"Gladiator's Assault",GLAS-EN047,94820406 
"Dark Gray",4,"Common",M,1st Edition,"The Legend of Blue Eyes White Dragon",LOB-011,9159938 
"Dark Hole",1,"Super Rare",M,Unlimited,"The Legend of Blue Eyes White Dragon",LOB-052,53129443 
"Dark Horus",1,"Ultra Rare",M,Unlimited,"Phantom Darkness",PTDN-EN016,66214679 
"Dark Hunter",1,"Ultra Rare",M,Unlimited,"The Duelist Genesis",TDGS-EN033,19357125 
"Dark Illusion",1,"Rare",M,Unlimited,"Phantom Darkness",PTDN-EN071,5562461 
"Dark Jeroid",2,"Rare",M,Unlimited,"Pharaonic Guardian",PGD-056,90980792 
"Dark King of the Abyss",4,"Common",M,1st Edition,"The Legend of Blue Eyes White Dragon",LOB-020,53375573 
"Dark Lucius LV4",2,"Common",M,Unlimited,"Cyberdark Impact",CDIP-EN009,85313220 
"Dark Lucius LV6",2,"Rare",M,Unlimited,"Cyberdark Impact",CDIP-EN010,12817939 
"Dark Magician",1,"Rare",M,Unlimited,"Dark Legends",DLG1-EN004,46986414 
"Dark Magician of Chaos",3,"Gold Rare",M,Limited,"Gold Series 2008",GLD1-EN016,40737112 
"Dark Mimic LV1",16,"Common",M,Unlimited,"Soul of the Duelist",SOD-EN009,74713516 
"Dark Mimic LV3",3,"Rare",M,Unlimited,"Soul of the Duelist",SOD-EN010,1102515 
"Dark Nephthys",1,"Ultimate Rare",M,Unlimited,"Phantom Darkness",PTDN-EN018,38107923 
"Dark Resonator",2,"Rare",M,Unlimited,"The Duelist Genesis",TDGS-EN010,97021916 
"Dark Sage",1,"Ultra Rare",M,Unlimited,"Dark Beginning 1",DB1-EN096,92377303 
"Dark Scorpion - Chick the Yellow",4,"Common",M,Unlimited,"Dark Crisis",DCR-026,61587183 
"Dark Scorpion - Cliff the Trap Remover",8,"Common",M,Unlimited,"Magician's Force",MFC-078,6967870 
"Dark Scorpion - Gorg the Strong",5,"Common",M,1st Edition,"Dark Crisis",DCR-060,48768179 
"Dark Scorpion - Meanae the Thorn",4,"Common",M,Unlimited,"Dark Crisis",DCR-061,74153887 
"Dark Scorpion Burglars",9,"Common",M,Unlimited,"Pharaonic Guardian",PGD-028,40933924 
"Dark Scorpion Combination",5,"Rare",M,Unlimited,"Dark Crisis",DCR-098,20858318 
"Dark Snake Syndrome",3,"Common",M,Unlimited,"Pharaonic Guardian",PGD-087,47233801 
"Dark Spirit Art - Greed",1,"Rare",M,Unlimited,"Phantom Darkness",PTDN-EN070,38167722 
"Dark Valkyria",2,"Rare",M,Unlimited,"Light of Destruction",LODT-EN027,83269557 
"Dark Witch",1,"Common",M,Unlimited,"Magic Ruler",MRL-019,35565537 
"Dark World Dealings",1,"Super Rare",M,Unlimited,"Strike of Neos",STON-EN038,74117290 
"Dark World Grimoire",2,"Common",M,Unlimited,"Phantom Darkness",PTDN-EN062,61623148 
"Dark World Lightning",7,"Common",M,Unlimited,"Elemental Energy",EEN-EN038,93554166 
"Dark Zebra",1,"Common",M,Unlimited,"Magic Ruler",MRL-084,59784896 
"Dark-Eyes Illusionist",1,"Rare",M,Unlimited,"Phantom Darkness",PTDN-EN092,38247752 
"Dark-Piercing Light",2,"Common",M,Unlimited,"Dark Beginning 2",DB2-EN087,45895206 
"Darkbishop Archfiend",1,"Rare",M,Unlimited,"Dark Crisis",DCR-069,35798491 
"Darkfire Dragon",1,"Rare",M,Unlimited,"The Legend of Blue Eyes White Dragon",LOB-019,17881964 
"Darkfire Soldier #1",4,"Common",M,Unlimited,"Pharaoh's Servant",PSV-043,5388481 
"Darkfire Soldier #2",3,"Common",M,Unlimited,"Pharaoh's Servant",PSV-045,78861134 
"Darklord Marie",2,"Rare",M,1st Edition,"Labyrinth of Nightmare",LON-046,57579381 
"Darkness Approaches",1,"Common",M,Unlimited,"Magic Ruler",MRL-040,80168720 
"Darkworld Thorns",3,"Common",M,Unlimited,"The Legend of Blue Eyes White Dragon",LOB-114,43500484 
"Dawnbreak Gardna",1,"Common",M,Unlimited,"Tactical Evolution",TAEV-EN024,57549932 
"De-Fusion",6,"Common",M,Unlimited,"Dark Beginning 2",DB2-EN029,95286165 
"De-Synchro",1,"Rare",M,1st Edition,"The Duelist Genesis",TDGS-EN049,32441317 
"Deal of Phantom",4,"Common",M,Unlimited,"Labyrinth of Nightmare",LON-084,69122763 
"Decayed Commander",6,"Common",M,Unlimited,"Magician's Force",MFC-010,10209545 
"Deck Devastation Virus",1,"Super Rare",M,Unlimited,"Dark Revelation Volume 3",DR3-EN178,35027493 
"Deck Lockdown",3,"Rare",M,Unlimited,"Light of Destruction",LODT-EN060,1149109 
"Decoyroid",5,"Common",M,1st Edition,"Power of the Duelist",POTD-EN010,25034083 
"Deepsea Shark",4,"Common",M,Unlimited,"Metal Raiders",MRD-038,28593363 
"Deepsea Warrior",5,"Common",M,Unlimited,"Pharaoh's Servant",PSV-079,24128274 
"Defense Draw",2,"Rare",M,Unlimited,"The Duelist Genesis",TDGS-EN065,24268052 
"Degenerate Circuit",2,"Rare",M,Unlimited,"Cyberdark Impact",CDIP-EN047,36995273 
"Dekoichi the Battlechanted Locomotive",4,"Rare",M,1st Edition,"Rise of Destiny",RDS-EN032,87621407 
"Delta Attacker",6,"Common",M,Unlimited,"Ancient Sanctuary",AST-096,39719977 
"Demise of the Land",3,"Common",M,Unlimited,"Light of Destruction",LODT-EN047,48934760 
"Demise, King of Armageddon",1,"Super Rare",M,Unlimited,"Dark Revelation Volume 4",DR04-EN155,72426662 
"Demotion",1,"Common",M,Unlimited,"Magician's Force",MFC-029,72575145 
"Des Counterblow",2,"Super Rare",M,1st Edition,"Ancient Sanctuary",AST-107,39131963 
"Des Croaking",15,"Common",M,Unlimited,"Cybernetic Revolution",CRV-EN042,44883830 
"Des Dendle",4,"Common",M,Unlimited,"Magician's Force",MFC-015,12965761 
"Des Feral Imp",1,"Rare",M,Unlimited,"Dark Crisis",DCR-014,81985784 
"Des Frog",16,"Common",M,Unlimited,"Cybernetic Revolution",CRV-EN026,84451804 
"Des Kangaroo",4,"Common",M,Unlimited,"Invasion of Chaos",IOC-005,78613627 
"Des Koala",1,"Rare",M,Unlimited,"Magician's Force",MFC-077,69579761 
"Des Lacooda",10,"Common",M,Unlimited,"Pharaonic Guardian",PGD-030,2326738 
"Des Mosquito",1,"Rare",M,Unlimited,"Dark Legends",DLG1-EN103,33695750 
"Des Wombat",6,"Common",M,Unlimited,"The Lost Millennium",TLM-EN031,9637706 
